Name,State/Territory,Category,Type,Created,Updated
Building Energy Code,OR,Regulatory Policy,Building Energy Code,2006-07-27,2023-06-18
State Energy Efficient Design Program,OR,Regulatory Policy,Energy Standards for Public Buildings,2006-08-01,2024-03-13
Emerald PUD - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-07,2024-04-11
Emerald PUD - Commercial and Industrial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-08,2024-08-01
Columbia River PUD - Commercial Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2006-09-13,2023-10-05
EWEB - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2006-09-14,2024-05-06
EWEB - Residential Energy Efficiency Loan Programs,OR,Financial Incentive,Loan Program,2006-09-14,2024-05-06
Springfield Utility Board - Residential Energy Efficiency Loan Program,OR,Financial Incentive,Loan Program,2006-09-14,2024-05-08
Springfield Utility Board - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-15,2023-08-11
Tillamook County PUD - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-15,2023-11-13
Tillamook County PUD - Dairy Lighting Retrofit Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-15,2024-05-07
OTEC - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2006-09-29,2024-04-11
Central Electric Cooperative - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2006-10-03,2023-10-06
Home Energy Solutions for Existing Homes,OR,Financial Incentive,Rebate Program,2007-03-09,2023-05-23
Commercial Energy Efficiency Rebate for Existing Buildings,OR,Financial Incentive,Rebate Program,2007-03-13,2023-05-17
New Buildings Program,OR,Financial Incentive,Rebate Program,2007-03-13,2023-05-17
Lane Electric Cooperative - Heat Pump Rebate/Loan Program,OR,Financial Incentive,Rebate Program,2007-03-29,2023-07-03
Lane Electric Cooperative - Commercial/Residential Weatherization & Energy Efficiency Grant Program,OR,Financial Incentive,Grant Program,2007-03-29,2023-07-03
Lane Electric Cooperative - Residential Weatherization Programs,OR,Financial Incentive,Loan Program,2007-03-29,2023-10-31
"Consumers Power, Inc - Residential Energy Efficiency Rebate Program",OR,Financial Incentive,Rebate Program,2007-04-04,2023-11-10
Douglas Electric Cooperative - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2007-04-18,2023-10-05
"Salem Electric - Residential, Commercial, and Industrial Efficiency Rebate Program",OR,Financial Incentive,Rebate Program,2007-04-25,2023-07-06
EWEB - Solar Electric Program (Rebate),OR,Financial Incentive,Rebate Program,2007-05-15,2024-09-17
EWEB - Commercial Energy Efficiency Rebates Program,OR,Financial Incentive,Rebate Program,2007-06-01,2023-11-10
Renewable Portfolio Standard,OR,Regulatory Policy,Renewables Portfolio Standard,2007-06-04,2023-11-21
EWEB - New Facilities Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2007-06-13,2024-05-06
Idaho Power - Easy Upgrades for Simple Retrofits Rebate Program,OR,Financial Incentive,Rebate Program,2007-06-27,2023-08-04
Green Energy Technology in Public Buildings,OR,Regulatory Policy,Energy Standards for Public Buildings,2007-07-16,2024-06-10
Mandatory Utility Green Power Option,OR,Regulatory Policy,Mandatory Utility Green Power Option,2007-10-24,2021-08-27
Wind Incentive Program,OR,Financial Incentive,Rebate Program,2007-11-09,2023-06-05
Idaho Power - New Building Efficiency Program,OR,Financial Incentive,Rebate Program,2008-11-12,2023-08-04
Idaho Power - Commercial Custom Efficiency Program,OR,Financial Incentive,Rebate Program,2008-11-12,2023-08-04
Idaho Power - Irrigation Efficiency Rewards Program,OR,Financial Incentive,Rebate Program,2008-11-12,2023-08-04
Idaho Power - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2008-11-13,2023-10-05
OTEC - Agricultural Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2008-11-13,2024-05-09
New Homes Incentive Program,OR,Financial Incentive,Rebate Program,2008-11-18,2023-05-30
Residential Energy Star Appliance Rebate Program,OR,Financial Incentive,Rebate Program,2008-11-19,2023-05-30
Industrial and Agricultural Production Efficiency Program,OR,Financial Incentive,Rebate Program,2008-11-21,2023-05-17
McMinnville Water & Light - Commercial Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2009-01-13,2024-08-05
McMinnville Water & Light - Conservation Service Loan Program,OR,Financial Incentive,Loan Program,2009-01-13,2024-07-10
Model Ordinance for Renewable Energy Projects,OR,Regulatory Policy,Solar/Wind Permitting Standards,2005-01-07,2023-08-11
Monmouth Power & Light - Residential Energy Efficiency Program,OR,Financial Incentive,Rebate Program,2009-04-08,2023-11-10
Tillamook County PUD - Residential Energy Efficiency Loan Program,OR,Financial Incentive,Loan Program,2009-05-19,2024-05-07
Springfield Utility Board - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2009-05-20,2023-11-13
Columbia River PUD - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2009-05-21,2024-04-11
Lane Electric Cooperative - Manufactured Homes Rebate Program,OR,Financial Incentive,Rebate Program,2009-07-08,2023-07-03
Salem Electric - Photovoltaic Rebate Program,OR,Financial Incentive,Rebate Program,2009-01-01,2024-09-17
Local Option - Local Improvement Districts,OR,Financial Incentive,PACE Financing,2009-07-28,2024-06-17
Central Lincoln People's Utility District - Residential Energy Efficiency Rebate Programs,OR,Financial Incentive,Rebate Program,2009-08-25,2024-05-15
McMinnville Water and Light - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2010-02-09,2024-04-22
City of Portland - Streamlined Building Permits for Residential Solar Systems,OR,Regulatory Policy,Solar/Wind Permitting Standards,2009-09-01,2023-08-11
Solar Permitting Law,OR,Regulatory Policy,Solar/Wind Permitting Standards,2011-06-29,2023-08-15
Multifamily Home Energy Solutions Program,OR,Financial Incentive,Rebate Program,2005-08-08,2023-05-30
Central Lincoln People's Utility District - Renewable Energy Incentive Program,OR,Financial Incentive,Rebate Program,2013-02-15,2024-09-16
Local Option - Rural Renewable Energy Development Zones,OR,Financial Incentive,Property Tax Incentive,2013-06-10,2024-10-29
SB 1149 Schools Program,OR,Regulatory Policy,Public Benefits Fund,2015-07-10,2021-07-26
Large Electric Consumer Public Purpose Program (LECPPP),OR,Regulatory Policy,Public Benefits Fund,2015-11-18,2021-07-27
EWEB - Net Metering,OR,Regulatory Policy,Net Metering,2016-02-11,2023-02-21
Pacific Power - Blue Sky Community Project Funds,OR,Financial Incentive,Grant Program,2016-03-16,2023-10-31
PGE Renewable Development Fund,OR,Financial Incentive,Grant Program,2016-04-04,2023-10-31
Energy Storage Procurement Target,OR,Regulatory Policy,Energy Storage Target,2020-03-30,2023-11-08
Diesel School Bus Replacement Program,OR,Financial Incentive,Grant Program,2021-06-17,2023-10-04
Oregon Clean Vehicle Rebate Program,OR,Financial Incentive,Rebate Program,2021-06-18,2024-03-18
Solar + Storage Rebate Program,OR,Financial Incentive,Rebate Program,2021-06-29,2024-03-20
Central Lincoln PUD Electric Vehicle Charging Station Rebate Program,OR,Financial Incentive,Rebate Program,2021-08-20,2023-11-10
Eugene Water & Electric Board - Electric Vehicle Charging Station Smart Charge Program,OR,Financial Incentive,Rebate Program,2021-08-20,2023-11-10
Portland General Electric (PGE) - Residential EV Charging Pilot Program,OR,Financial Incentive,Rebate Program,2021-08-20,2023-11-10
Portland General Electric (PGE) - EV Charging Station Commercial & Multifamily Rebate Program,OR,Financial Incentive,Rebate Program,2021-08-20,2023-11-10
Solar Within Reach,OR,Financial Incentive,Rebate Program,2021-09-30,2023-05-31
OTEC - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2022-06-01,2024-05-09
Oregon Community Solar Program,OR,Regulatory Policy,Community Solar Rules,2022-06-22,2023-02-28
Emerald PUC Electric Vehicle Charger Rebate Program,OR,Financial Incentive,Rebate Program,2023-11-14,2023-11-14
Making Solar Equitable Program,OR,Financial Incentive,Rebate Program,2023-11-15,2023-11-15
Solar Planning Program,OR,Financial Incentive,Rebate Program,2023-11-17,2023-11-17
Lane Electric - Residential Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2023-11-20,2023-11-20
Oregon - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,OR,Financial Incentive,Grant Program,2024-06-19,2024-06-25
Ashland Electric Utility - Commercial Energy Efficiency Rebate Program,OR,Financial Incentive,Rebate Program,2024-09-18,2024-09-18
Forest Grove Light & Power - Residential Solar Rebate Program,OR,Financial Incentive,Rebate Program,2024-09-18,2024-09-18
Net Metering,PA,Regulatory Policy,Net Metering,2000-01-01,2023-02-23
Fuel Mix Disclosure,PA,Regulatory Policy,Generation Disclosure,2000-01-01,2023-08-09
Public Benefits Programs,PA,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-26
Alternative Energy Portfolio Standard,PA,Regulatory Policy,Renewables Portfolio Standard,2004-12-03,2023-11-08
Interconnection Standards,PA,Regulatory Policy,Interconnection,2004-12-16,2024-06-05
Sustainable Development Fund Financing Program (PECO Territory),PA,Financial Incentive,Loan Program,2002-02-25,2020-07-20
Penelec SEF of the Community Foundation for the Alleghenies Loan Program (FirstEnergy Territory),PA,Financial Incentive,Loan Program,2003-03-06,2018-06-13
Met-Ed / Penelec Sustainable Energy Fund,PA,Financial Incentive,Grant Program,2002-02-08,2021-11-01
Sustainable Energy Fund (SEF) Loan Program (PPL Territory),PA,Financial Incentive,Loan Program,2002-02-08,2020-08-07
West Penn Power SEF Commercial Loan Program,PA,Financial Incentive,Loan Program,2002-02-12,2022-09-20
Metropolitan Edison Company SEF Loans (FirstEnergy Territory),PA,Financial Incentive,Loan Program,2002-02-05,2021-10-04
Penelec SEF of the Community Foundation for the Alleghenies Grant Program (FirstEnergy Territory),PA,Financial Incentive,Grant Program,2003-03-06,2020-12-05
Small Business Advantage Grant Program,PA,Financial Incentive,Grant Program,2005-06-30,2019-07-30
Small Business Pollution Prevention Assistance Account Loan Program,PA,Financial Incentive,Loan Program,2005-06-30,2024-10-14
Building Energy Code,PA,Regulatory Policy,Building Energy Code,2006-07-26,2023-06-18
Property Tax Assessment for Commercial Wind Farms,PA,Financial Incentive,Property Tax Incentive,2006-12-19,2020-07-11
Model Wind Ordinance for Local Governments,PA,Regulatory Policy,Solar/Wind Permitting Standards,2008-09-11,2024-05-28
Energy Management and Conservation in State Facilities,PA,Regulatory Policy,Energy Standards for Public Buildings,2008-11-13,2024-03-23
Wind and Geothermal Incentives Program,PA,Financial Incentive,Industry Recruitment/Support,2009-01-21,2021-07-14
PECO Energy (Gas) - Residential Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,2009-01-29,2023-03-28
Solar Energy Incentives Program,PA,Financial Incentive,Industry Recruitment/Support,2009-04-21,2021-07-14
High Performance Building Incentives Program,PA,Financial Incentive,Grant Program,2009-04-22,2022-04-04
Wind and Geothermal Incentives Program,PA,Financial Incentive,Grant Program,2009-08-11,2022-10-13
Wind and Geothermal Incentives Program,PA,Financial Incentive,Loan Program,2009-08-11,2024-08-30
High Performance Buildings Incentive Program,PA,Financial Incentive,Loan Program,2009-08-11,2024-10-14
Pennsylvania Alternative and Clean Energy Program (ACE),PA,Financial Incentive,Grant Program,2009-09-02,2022-02-08
Alternative and Clean Energy Program,PA,Financial Incentive,Loan Program,2009-09-03,2024-10-14
Alternative and Clean Energy Program,PA,Financial Incentive,Industry Recruitment/Support,2009-09-03,2021-07-14
"PPL Electric Utilities - Commercial, Industrial and Agricultural Energy Efficiency Rebate Program",PA,Financial Incentive,Rebate Program,2009-12-16,2024-11-01
PPL Electric Utilities - Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,2009-12-16,2023-06-02
Duquesne Light Company - Commercial and Industrial Energy Efficiency Program,PA,Financial Incentive,Rebate Program,2010-01-05,2023-07-07
Duquesne Light Company - Residential Energy Efficiency Program,PA,Financial Incentive,Rebate Program,2010-01-05,2023-06-19
City of Philadelphia - Green Power Purchasing,PA,Regulatory Policy,Green Power Purchasing,2010-02-16,2021-08-26
PECO Energy (Electric) - Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,2010-03-23,2023-03-28
PECO Energy (Electric) - Non-Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,2010-03-26,2023-06-02
"FirstEnergy (Met-Ed, Penelec, Penn Power, and West Penn) - Commercial and Industrial Energy Efficiency Program",PA,Financial Incentive,Rebate Program,2010-05-06,2024-09-04
"FirstEnergy (MetEdison, Penelec, Penn Power, West Penn Power) - Residential Energy Efficiency Programs",PA,Financial Incentive,Rebate Program,2010-05-06,2024-05-15
Energy Efficiency and Conservation Requirements for Utilities,PA,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-20,2024-10-07
City of Philadelphia - Energy Standards for Public Buildings,PA,Regulatory Policy,Energy Standards for Public Buildings,2011-04-11,2024-06-24
City of Philadelphia - Streamlined Solar Permitting and Fee Reduction,PA,Financial Incentive,Green Building Incentive,2011-04-12,2024-06-05
Philadelphia Gas Works - Residential and Small Business Equipment Rebate Program,PA,Financial Incentive,Rebate Program,2011-05-19,2024-11-01
Philadelphia Gas Works - Commercial and Industrial Equipment Rebate Program,PA,Financial Incentive,Rebate Program,2011-05-19,2024-11-01
Philadelphia Gas Works - Residential Incentives Program,PA,Financial Incentive,Rebate Program,2012-12-13,2023-06-09
Solar Alternative Energy Credits,PA,Financial Incentive,Solar Renewable Energy Credit Program,2015-02-19,2023-03-07
Renewable Energy Program,PA,Financial Incentive,Industry Recruitment/Support,2015-05-04,2022-09-11
PECO Energy (Gas)- Commercial Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,2016-01-08,2024-08-01
Solar Energy Loan Program,PA,Financial Incentive,Loan Program,2016-11-22,2022-10-22
City of Philadelphia - Solar Rebate Program,PA,Financial Incentive,Rebate Program,2019-08-14,2023-06-19
Alternative Fuels Incentive Grant Program (AFIG),PA,Financial Incentive,Grant Program,2021-06-18,2021-08-12
Truck and Bus Fleet Grant Program,PA,Financial Incentive,Grant Program,2021-06-18,2021-12-31
Clean Diesel Grant Program,PA,Financial Incentive,Grant Program,2021-06-18,2021-08-12
Electric Cargo Handling Grant Program,PA,Financial Incentive,Grant Program,2021-06-18,2021-12-31
DC Fast Charging and Hydrogen Fueling Grant Program,PA,Financial Incentive,Grant Program,2021-06-18,2023-06-01
Level 2 EV Charging Rebate Program,PA,Financial Incentive,Rebate Program,2021-06-18,2023-06-09
Onroad Rebate Program for Trucks and Buses,PA,Financial Incentive,Rebate Program,2021-06-18,2023-06-09
Alternative Fuel Vehicle Rebate Program,PA,Financial Incentive,Rebate Program,2021-06-18,2023-06-01
Duquesne Light Company - PEV Bill Credit Program,PA,Financial Incentive,Rebate Program,2021-08-20,2022-12-09
PECO - EV Rebate Program,PA,Financial Incentive,Rebate Program,2021-08-20,2023-03-17
PPL Electric Utilities - Business Incentive Program,PA,Financial Incentive,Rebate Program,2022-06-08,2024-08-15
PECO - Commercial Charger Rebate Program,PA,Financial Incentive,Rebate Program,2022-06-21,2024-08-05
Cooking in Healthy Electrified Commercial Kitchens (CHECK) Program,PA,Financial Incentive,Rebate Program,2023-01-10,2023-06-29
EZ Permit: Electric Vehicle Charger,PA,Financial Incentive,Green Building Incentive,2024-05-24,2024-06-05
Puerto Rico - Renewable Energy Equipment Certification,PR,Regulatory Policy,Equipment Certification,2002-10-21,2024-06-03
Industry Tax Incentives,PR,Financial Incentive,Industry Recruitment/Support,2002-10-21,2021-07-15
Puerto Rico - Property Tax Exemption for Solar and Renewable Energy Equipment,PR,Financial Incentive,Property Tax Incentive,2008-01-17,2023-12-04
Puerto Rico - Net Metering,PR,Regulatory Policy,Net Metering,2008-01-18,2024-08-20
Puerto Rico - Building Energy Code with Mandatory Solar Water Heating,PR,Regulatory Policy,Building Energy Code,2008-06-18,2020-06-10
Puerto Rico - Interconnection Standards,PR,Regulatory Policy,Interconnection,2008-12-15,2024-05-30
Puerto Rico - Sales and Use Tax Exemption for Solar Equipment,PR,Financial Incentive,Sales Tax Incentive,2008-12-16,2023-12-05
Puerto Rico - Economic Development Incentives for Renewables,PR,Financial Incentive,Industry Recruitment/Support,2008-12-18,2021-07-16
Puerto Rico - Solar and Wind Contractor Certification,PR,Regulatory Policy,Solar/Wind Contractor Licensing,2009-02-10,2020-07-18
Puerto Rico - Renewable Energy Portfolio Standard,PR,Regulatory Policy,Renewables Portfolio Standard,2010-07-26,2023-12-06
Energy Efficiency Savings Targets,PR,Regulatory Policy,Energy Efficiency Resource Standard,2024-10-31,2024-10-31
Palau - Net Metering,PW,Regulatory Policy,Net Metering,2014-12-15,2024-08-16
Rhode Island Solar Easement Laws,RI,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-11-05
Net Metering,RI,Regulatory Policy,Net Metering,2000-01-01,2023-02-20
Rhode Island Renewable Energy Fund (RIREF),RI,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-26
Renewable Energy Standard,RI,Regulatory Policy,Renewables Portfolio Standard,2004-07-06,2023-12-06
Renewable Energy Products Sales and Use Tax Exemption,RI,Financial Incentive,Sales Tax Incentive,2005-08-16,2023-12-05
Fuel Mix and Emissions Disclosure,RI,Regulatory Policy,Generation Disclosure,2005-12-06,2023-08-09
National Grid (Electric) - Large Business Program,RI,Financial Incentive,Rebate Program,2006-04-17,2024-07-01
Rhode Island Appliance and Equipment Energy Efficiency Standards,RI,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-05,2024-10-23
Building Energy Code,RI,Regulatory Policy,Building Energy Code,2006-07-27,2023-06-18
Green Building Standards for State Facilities,RI,Regulatory Policy,Energy Standards for Public Buildings,2006-08-01,2024-06-21
Local Option - Property Tax Exemption for Renewable Energy Systems,RI,Financial Incentive,Property Tax Incentive,2007-11-13,2023-12-06
Rhode Island Energy (Gas) - Commercial Energy Efficiency Programs,RI,Financial Incentive,Rebate Program,2008-07-23,2023-04-28
Rhode Island Energy (Electric) - Small Business Energy Efficiency Program,RI,Financial Incentive,Rebate Program,2008-07-23,2023-04-28
National Grid (Gas) - Residential Gas Heating Rebate Programs,RI,Financial Incentive,Rebate Program,2008-07-23,2024-04-30
National Grid (Electric) - Residential Energy Efficiency Incentive Program,RI,Financial Incentive,Rebate Program,2008-07-23,2024-05-10
Energy Efficiency Resource Standard,RI,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-16,2024-05-29
Interconnection Guidelines,RI,Regulatory Policy,Interconnection,2011-09-14,2024-06-06
Small Scale Solar Grants (Commerce RI),RI,Financial Incentive,Grant Program,2013-01-10,2023-03-23
Commercial Scale Renewable Energy Grants (Commerce RI),RI,Financial Incentive,Grant Program,2013-01-10,2023-03-23
Rhode Island C-PACE program,RI,Financial Incentive,PACE Financing,2013-08-23,2023-12-20
Renewable Energy Growth Program,RI,Financial Incentive,Performance-Based Incentive,2014-08-20,2022-12-08
Renewable Energy Professional Certification,RI,Regulatory Policy,Solar/Wind Contractor Licensing,2014-08-22,2020-07-18
Rhode Island Energy (Electric) Commercial and Industrial Rebate Program,RI,Financial Incentive,Rebate Program,2015-05-08,2023-04-28
Green Power Purchasing for State Facilities,RI,Regulatory Policy,Green Power Purchasing,2015-12-14,2021-08-26
Energy Efficiency Standard for State Buildings,RI,Regulatory Policy,Energy Standards for Public Buildings,2015-12-14,2024-07-02
Property Tax Exemption for Renewable Energy Equipment,RI,Financial Incentive,Property Tax Incentive,2016-08-01,2023-03-23
Farm Energy Program,RI,Financial Incentive,Grant Program,2017-02-02,2022-10-21
National Grid - EV Charging Station program,RI,Financial Incentive,Other Incentive,2021-08-20,2022-01-08
Community Remote Net Metering Program,RI,Regulatory Policy,Community Solar Rules,2022-06-10,2023-02-10
Offshore Wind Energy Target,RI,Regulatory Policy,Offshore Wind Energy Target,2024-05-17,2024-05-30
Energy Storage Target,RI,Regulatory Policy,Energy Storage Target,2024-09-10,2024-09-10
ConserFund Loan Program,SC,Financial Incentive,Loan Program,2006-03-27,2022-03-30
Duke Energy Progress- Rate Discount for Energy Star Homes,SC,Financial Incentive,Utility Rate Discount,2006-05-16,2024-07-15
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Personal)",SC,Financial Incentive,Personal Tax Credit,2006-07-18,2024-03-08
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Corporate)",SC,Financial Incentive,Corporate Tax Credit,2006-07-18,2024-03-08
Building Energy Code,SC,Regulatory Policy,Building Energy Code,2006-07-19,2023-06-18
Santee Cooper - Smart Energy Loan Program,SC,Financial Incentive,Loan Program,2006-08-22,2024-07-15
Pee Dee Electric Cooperative - Energy Resource Conservation Loan Program,SC,Financial Incentive,Loan Program,2006-08-31,2024-05-14
Palmetto Electric Cooperative - Buried Treasure Rebate Program,SC,Financial Incentive,Rebate Program,2006-08-31,2024-05-06
Blue Ridge Electric Cooperative - Heat Pump Loan Program,SC,Financial Incentive,Loan Program,2006-08-31,2024-05-14
Berkeley Electric Cooperative - Energy Efficiency Loan Programs,SC,Financial Incentive,Loan Program,2006-09-15,2024-05-14
Interconnection Guidelines,SC,Regulatory Policy,Interconnection,2007-01-04,2024-06-07
State Building Energy Standards,SC,Regulatory Policy,Energy Standards for Public Buildings,2007-06-25,2024-06-25
Sales Tax Exemption for Hydrogen Fuel Cells,SC,Financial Incentive,Sales Tax Incentive,2007-10-17,2023-12-05
Santee Cooper - Renewable Energy Resource Loans,SC,Financial Incentive,Loan Program,2007-10-30,2023-05-09
Energy Efficient Manufactured Homes Sales Tax Incentive,SC,Financial Incentive,Sales Tax Incentive,2006-12-20,2023-03-21
Net Metering,SC,Regulatory Policy,Net Metering,2008-08-22,2024-06-11
South Carolina Municipalities - Green Power Purchasing,SC,Regulatory Policy,Green Power Purchasing,2008-09-02,2021-08-27
Energy Efficient Manufactured Homes Tax Credit,SC,Financial Incentive,Personal Tax Credit,2008-12-11,2023-03-21
Berkeley Electric Cooperative - Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2009-01-01,2023-10-04
Duke Energy (Electric) - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2009-08-12,2024-05-02
Duke Energy Carolinas - Non-Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2009-08-12,2024-06-17
York Electric Cooperative - Dual Fuel Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,2009-08-12,2024-05-14
Duke Energy Progress - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2010-02-12,2024-05-01
Piedmont Natural Gas - Residential Equipment Efficiency Program,SC,Financial Incentive,Rebate Program,2010-06-08,2023-08-04
Piedmont Natural Gas - Commercial Equipment Efficiency Rebates,SC,Financial Incentive,Rebate Program,2010-06-08,2023-08-04
Rock Hill Utilities - Water Heater and Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,2010-06-29,2024-05-01
Santee Cooper - Residential Energy Efficiency Existing Homes Rebate Program,SC,Financial Incentive,Rebate Program,2006-08-22,2024-05-06
Santee Cooper - Commercial Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2006-08-22,2024-04-08
Dominion Energy (Electric) - Residential EnergyWise Program,SC,Financial Incentive,Rebate Program,2011-05-03,2024-05-01
Dominion Energy - Commercial EnergyWise Program,SC,Financial Incentive,Rebate Program,2011-05-03,2024-08-05
Aiken Electric Cooperative Inc - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2012-08-02,2024-01-09
Renewable Energy Manufacturing Tax Credit,SC,Financial Incentive,Industry Recruitment/Support,2013-03-18,2023-02-17
Duke Energy Progress - Residential New Construction Rebate Program,SC,Financial Incentive,Rebate Program,2013-07-22,2024-05-02
Distributed Energy Resource Program,SC,Regulatory Policy,Renewables Portfolio Standard,2014-07-09,2023-12-05
Energy Efficiency Revolving Loan Fund,SC,Financial Incentive,Loan Program,2014-08-14,2024-09-11
Blue Ridge Electric Cooperative - Residential Water Heater Rebate,SC,Financial Incentive,Rebate Program,2015-07-01,2024-05-14
Santee Cooper - Rooftop Solar Rebate Program,SC,Financial Incentive,Rebate Program,2017-02-02,2024-08-16
Renewable Energy and Energy Storage Property Tax Exemption,SC,Financial Incentive,Property Tax Incentive,2021-10-05,2024-11-12
South Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SC,Financial Incentive,Grant Program,2024-06-21,2024-06-21
Black Hills Energy - Residential Customer Rebate Program,SD,Financial Incentive,Rebate Program,2006-05-17,2023-06-19
Building Energy Code,SD,Regulatory Policy,Building Energy Code,2006-08-02,2023-05-23
Southeastern Electric Cooperative - Electric Equipment Loan Program,SD,Financial Incentive,Loan Program,2007-03-15,2023-06-23
Large Commercial Wind and Solar Alternative Taxes,SD,Financial Incentive,Property Tax Incentive,2008-03-06,2024-10-28
"Renewable, Recycled and Conserved Energy Objective",SD,Regulatory Policy,Renewables Portfolio Standard,2008-03-21,2023-11-21
High-Performance Building Requirements for State Buildings,SD,Regulatory Policy,Energy Standards for Public Buildings,2008-07-18,2024-03-13
Otter Tail Power Company - Residential and Commercial Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,2008-11-19,2023-11-08
Black Hills Energy - Commercial Energy Efficiency Programs,SD,Financial Incentive,Rebate Program,2008-11-21,2023-06-19
Interconnection Standards,SD,Regulatory Policy,Interconnection,2009-06-15,2024-06-04
Montana-Dakota Utilities (Gas) - Commercial Natural Gas Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,2010-01-19,2023-06-05
Montana-Dakota Utilities (Gas) - Residential Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,2010-01-19,2023-06-19
South Dakota Solar and Wind Easement Law,SD,Regulatory Policy,Solar/Wind Access Policy,2010-02-15,2023-12-20
Renewable Energy System Exemption,SD,Financial Incentive,Property Tax Incentive,2010-04-07,2024-10-28
Southeastern Electric - Residential Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,2007-03-15,2023-06-19
Business Energy Efficiency Rebate (Offered by 11 Utilities),SD,Financial Incentive,Rebate Program,2012-02-03,2024-08-30
Residential Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,2012-02-03,2023-11-08
Renewable Energy Facility Sales and Use Tax Reimbursement,SD,Financial Incentive,Sales Tax Incentive,2013-06-26,2023-12-04
Clean Diesel Grant Program,SD,Financial Incentive,Grant Program,2021-06-19,2023-10-10
Commercial Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,2023-11-14,2023-11-14
South Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SD,Financial Incentive,Grant Program,2024-06-19,2024-06-25
Tennessee Solar Easement and Access Laws,TN,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-05-26
Building Energy Code,TN,Regulatory Policy,Building Energy Code,2006-06-30,2023-06-18
Electric Power Board of Chattanooga - Smart Build New Homes Program for Builders & Developers,TN,Financial Incentive,Rebate Program,2006-08-17,2023-07-11
Bristol Tennessee Electric Service - Energy Savings Loan Program,TN,Financial Incentive,Loan Program,2006-08-17,2024-05-20
Middle Tennessee EMC - Residential Heat Pump Loan Program,TN,Financial Incentive,Loan Program,2006-09-19,2024-05-20
Energy Star Procurement Requirement for Agencies,TN,Regulatory Policy,Energy Standards for Public Buildings,2008-12-22,2024-06-12
Energy Efficient Schools Initiative - Loans,TN,Financial Incentive,Loan Program,2009-08-10,2024-05-22
Pathway Energy Efficiency Loan Program,TN,Financial Incentive,Loan Program,2010-09-01,2024-05-22
Green Energy Production Facility Tax Credit,TN,Financial Incentive,Industry Recruitment/Support,2010-09-04,2024-02-17
